pluot name,start,end,,,,
Honey Rich,5/18/2025,5/31/2025,,,,
Spring Flavor,5/18/2025,6/3/2025,,,,
Flavorosa,5/20/2025,6/5/2025,,,,
Flavor Ann,5/21/2025,6/4/2025,,,,
Flavorglo,5/24/2025,6/5/2025,,,,
Flavorosa,5/24/2025,6/7/2025,,,,
Ebony Punch,5/25/2025,6/4/2025,,,,
Flavor Royale,5/25/2025,6/10/2025,,,,
Sangria Red,5/30/2025,6/9/2025,,,,
Flavor Fusion,6/1/2025,6/15/2025,,,,
Flavorella,6/5/2025,6/14/2025,,,,
Flavor Supreme,6/8/2025,6/23/2025,,,,
Festival Red,6/10/2025,6/25/2025,,,,
Ebony Rose,6/15/2025,6/30/2025,,,,
Dapple Supreme,6/20/2025,7/5/2025,,,,
Crimson Rose,7/1/2025,7/15/2025,,,,
Dapple Delight,7/7/2025,7/17/2025,,,,
Flavorite,7/8/2025,7/22/2025,,,,
Coparose,7/10/2025,7/25/2025,,,,
Dapple Jack,7/10/2025,7/25/2025,,,,
Geo Pride,7/14/2025,7/28/2025,,,,
Emerald Gem,7/15/2025,7/31/2025,,,,
Flavor Queen,7/15/2025,7/30/2025,,,,
Emerald Blush,7/16/2025,7/26/2025,,,,
Ruby Kat,7/17/2025,8/2/2025,,,,
Flavor Gold,7/23/2025,8/7/2025,,,,
Crimson Royale,7/25/2025,8/10/2025,,,,
Dapple Dandy,7/25/2025,8/10/2025,,,,
Flavor King,8/1/2025,8/14/2025,,,,
Flavor Grenade,8/4/2025,9/1/2025,,,,
Flavor Gem,8/8/2025,8/24/2025,,,,
Honey Punch,8/15/2025,8/31/2025,,,,
Black Kat,9/1/2025,9/15/2025,,,,
Flavor Blast,9/1/2025,9/15/2025,,,,
Sunset Delight,9/3/2025,9/18/2025,,,,
Sunset Plapple,9/11/2025,9/21/2025,,,,
Fall Fiesta,9/25/2025,10/9/2025,,,,
Flavorfall,10/1/2025,10/22/2025,,,,
Autumn Magic,10/2/2025,10/11/2025,,,,
Autumn Charm,10/7/2025,10/17/2025,,,,
Autumn Fritz,10/20/2025,10/28/2025,,,,
